 frequency       inoise_spectrum onoise_spectrum
 1.55051578e+05  4.42452402e-08  2.99695957e-07 
 1.73019574e+05  4.30251142e-08  2.91431404e-07 
 1.93069773e+05  4.19015227e-08  2.83820728e-07 
 2.15443469e+05  4.08683786e-08  2.76822698e-07 
 2.40409918e+05  3.99198151e-08  2.70397574e-07 
 2.68269580e+05  3.90501879e-08  2.64507124e-07 
 2.99357729e+05  3.82540785e-08  2.59114645e-07 
 3.34048498e+05  3.75262979e-08  2.54184989e-07 
 3.72759372e+05  3.68618909e-08  2.49684590e-07 
 4.15956216e+05  3.62561391e-08  2.45581488e-07 
 4.64158883e+05  3.57045637e-08  2.41845344e-07 
 5.17947468e+05  3.52029272e-08  2.38447452e-07 
 5.77969288e+05  3.47472328e-08  2.35360740e-07 
 6.44946677e+05  3.43337237e-08  2.32559756e-07 
 7.19685673e+05  3.39588793e-08  2.30020653e-07 
 8.03085722e+05  3.36194113e-08  2.27721151e-07 
 8.96150502e+05  3.33122577e-08  2.25640504e-07 
 1.00000000e+06  3.30345750e-08  2.23759448e-07 
 1.11588399e+06  3.27837308e-08  2.22060142e-07 
 1.24519708e+06  3.25572940e-08  2.20526110e-07 
 1.38949549e+06  3.23530253e-08  2.19142173e-07 
 1.55051578e+06  3.21688668e-08  2.17894375e-07 
 1.73019574e+06  3.20029315e-08  2.16769917e-07 
 1.93069773e+06  3.18534925e-08  2.15757078e-07 
 2.15443469e+06  3.17189727e-08  2.14845145e-07 
 2.40409918e+06  3.15979337e-08  2.14024342e-07 
 2.68269580e+06  3.14890664e-08  2.13285753e-07 
 2.99357729e+06  3.13911804e-08  2.12621263e-07 
 3.34048498e+06  3.13031952e-08  2.12023480e-07 
 3.72759372e+06  3.12241308e-08  2.11485682e-07 
 4.15956216e+06  3.11530997e-08  2.11001748e-07 
 4.64158883e+06  3.10892985e-08  2.10566102e-07 
 5.17947468e+06  3.10320005e-08  2.10173656e-07 
 5.77969288e+06  3.09805491e-08  2.09819754e-07 
 6.44946677e+06  3.09343511e-08  2.09500119e-07 
 7.19685673e+06  3.08928709e-08  2.09210801e-07 
 8.03085722e+06  3.08556245e-08  2.08948122e-07 
 8.96150502e+06  3.08221749e-08  2.08708622e-07 
 1.00000000e+07  3.07921271e-08  2.08489008e-07 
 1.11588399e+07  3.07651237e-08  2.08286085e-07 
 1.24519708e+07  3.07408408e-08  2.08096702e-07 
 1.38949549e+07  3.07189841e-08  2.07917673e-07 
 1.55051578e+07  3.06992853e-08  2.07745698e-07 
 1.73019574e+07  3.06814986e-08  2.07577272e-07 
 1.93069773e+07  3.06653971e-08  2.07408575e-07 
 2.15443469e+07  3.06507701e-08  2.07235342e-07 
 2.40409918e+07  3.06374189e-08  2.07052715e-07 
 2.68269580e+07  3.06251539e-08  2.06855058e-07 
 2.99357729e+07  3.06137907e-08  2.06635742e-07 
 3.34048498e+07  3.06031461e-08  2.06386887e-07 
 3.72759372e+07  3.05930340e-08  2.06099050e-07 
 4.15956216e+07  3.05832599e-08  2.05760867e-07 
 4.64158883e+07  3.05736153e-08  2.05358623e-07 
 5.17947468e+07  3.05638713e-08  2.04875767e-07 
 5.77969288e+07  3.05537698e-08  2.04292357e-07 
 6.44946677e+07  3.05430144e-08  2.03584462e-07 
 7.19685673e+07  3.05312585e-08  2.02723534e-07 
 8.03085722e+07  3.05180914e-08  2.01675802e-07 
 8.96150502e+07  3.05030207e-08  2.00401762e-07 
 1.00000000e+08  3.04854520e-08  1.98855873e-07 
