 @n.x1.nsg13_lv_pmos[ids] @n.x1.Nsg13_lv_pmos[ids] @n.x1.Nsg13_lv_pmos[gm] @n.x1.Nsg13_lv_pmos[gds] @n.x1.Nsg13_lv_pmos[cgdol] @n.x1.Nsg13_lv_pmos[cgsol] @n.x1.Nsg13_lv_pmos[lp_cgov] @n.x1.Nsg13_lv_pmos[lp_cfr] @n.x1.Nsg13_lv_pmos[cjd] @n.x1.Nsg13_lv_pmos[cjdbot] @n.x1.Nsg13_lv_pmos[cjdgat] @n.x1.Nsg13_lv_pmos[cjdsti] @n.x1.Nsg13_lv_pmos[cjosbot] @n.x1.Nsg13_lv_pmos[cjossti] @n.x1.Nsg13_lv_pmos[cjosgat] @n.x1.Nsg13_lv_pmos[fug]
 6.83000339e-07  6.83000339e-07  1.54839558e-05  7.17514774e-08  2.82638633e-15  2.96402445e-15  2.57535719e-15  5.84900000e-16  1.85033402e-15  1.51076948e-15  1.39293453e-16  2.00271085e-16  1.72139420e-15  2.08425496e-16  1.60007336e-16  7.39214889e+07 
 @n.x1.nsg13_lv_pmos[ids] @n.x2.Nsg13_lv_pmos[ids] @n.x2.Nsg13_lv_pmos[gm] @n.x2.Nsg13_lv_pmos[gds] @n.x2.Nsg13_lv_pmos[cgdol] @n.x2.Nsg13_lv_pmos[cgsol] @n.x2.Nsg13_lv_pmos[lp_cgov] @n.x2.Nsg13_lv_pmos[lp_cfr] @n.x2.Nsg13_lv_pmos[cjd] @n.x2.Nsg13_lv_pmos[cjdbot] @n.x2.Nsg13_lv_pmos[cjdgat] @n.x2.Nsg13_lv_pmos[cjdsti] @n.x2.Nsg13_lv_pmos[cjosbot] @n.x2.Nsg13_lv_pmos[cjossti] @n.x2.Nsg13_lv_pmos[cjosgat] @n.x2.Nsg13_lv_pmos[fug]
 6.83000339e-07  6.82998498e-07  1.54839020e-05  7.17565436e-08  2.82639784e-15  2.96402445e-15  2.57535719e-15  5.84900000e-16  1.85034923e-15  1.51078261e-15  1.39294824e-16  2.00271800e-16  1.72139420e-15  2.08425496e-16  1.60007336e-16  7.39211953e+07 
