 @n.x1.nsg13_lv_pmos[ids] @n.x1.Nsg13_lv_pmos[ids] @n.x1.Nsg13_lv_pmos[gm] @n.x1.Nsg13_lv_pmos[gds] @n.x1.Nsg13_lv_pmos[cgdol] @n.x1.Nsg13_lv_pmos[cgsol] @n.x1.Nsg13_lv_pmos[lp_cgov] @n.x1.Nsg13_lv_pmos[lp_cfr] @n.x1.Nsg13_lv_pmos[cjd] @n.x1.Nsg13_lv_pmos[cjdbot] @n.x1.Nsg13_lv_pmos[cjdgat] @n.x1.Nsg13_lv_pmos[cjdsti] @n.x1.Nsg13_lv_pmos[cjosbot] @n.x1.Nsg13_lv_pmos[cjossti] @n.x1.Nsg13_lv_pmos[cjosgat] @n.x1.Nsg13_lv_pmos[fug]
 6.70001083e-07  6.70001083e-07  1.59381684e-05  7.19050317e-08  3.18058348e-15  3.33261024e-15  2.89843860e-15  6.57900000e-16  2.08467778e-15  1.70448919e-15  1.57321906e-16  2.22866686e-16  1.93656847e-15  2.31668791e-16  1.80132311e-16  7.71205849e+07 
 @n.x1.nsg13_lv_pmos[ids] @n.x2.Nsg13_lv_pmos[ids] @n.x2.Nsg13_lv_pmos[gm] @n.x2.Nsg13_lv_pmos[gds] @n.x2.Nsg13_lv_pmos[cgdol] @n.x2.Nsg13_lv_pmos[cgsol] @n.x2.Nsg13_lv_pmos[lp_cgov] @n.x2.Nsg13_lv_pmos[lp_cfr] @n.x2.Nsg13_lv_pmos[cjd] @n.x2.Nsg13_lv_pmos[cjdbot] @n.x2.Nsg13_lv_pmos[cjdgat] @n.x2.Nsg13_lv_pmos[cjdsti] @n.x2.Nsg13_lv_pmos[cjosbot] @n.x2.Nsg13_lv_pmos[cjossti] @n.x2.Nsg13_lv_pmos[cjosgat] @n.x2.Nsg13_lv_pmos[fug]
 6.70001083e-07  6.69999268e-07  1.59381112e-05  7.19100849e-08  3.18059623e-15  3.33261024e-15  2.89843860e-15  6.57900000e-16  2.08469480e-15  1.70450389e-15  1.57323438e-16  2.22867474e-16  1.93656847e-15  2.31668791e-16  1.80132311e-16  7.71202664e+07 
