 @n.x1.nsg13_lv_nmos[ids] @n.x1.Nsg13_lv_nmos[ids] @n.x1.Nsg13_lv_nmos[gm] @n.x1.Nsg13_lv_nmos[gds] @n.x1.Nsg13_lv_nmos[cgdol] @n.x1.Nsg13_lv_nmos[cgsol] @n.x1.Nsg13_lv_nmos[lp_cgov] @n.x1.Nsg13_lv_nmos[lp_cfr] @n.x1.Nsg13_lv_nmos[cjd] @n.x1.Nsg13_lv_nmos[cjdbot] @n.x1.Nsg13_lv_nmos[cjdgat] @n.x1.Nsg13_lv_nmos[cjdsti] @n.x1.Nsg13_lv_nmos[cjosbot] @n.x1.Nsg13_lv_nmos[cjossti] @n.x1.Nsg13_lv_nmos[cjosgat] @n.x1.Nsg13_lv_nmos[fug]
 5.00000030e-07  5.00000030e-07  1.37703366e-05  7.51630608e-07  1.42038042e-15  1.45075514e-15  1.06843969e-15  4.67200000e-16  8.59314342e-16  7.20503568e-16  6.71511994e-17  7.16595749e-17  7.82410112e-16  7.63683359e-17  7.06956182e-17  4.39296248e+08 
 @n.x1.nsg13_lv_nmos[ids] @n.x2.Nsg13_lv_nmos[ids] @n.x2.Nsg13_lv_nmos[gm] @n.x2.Nsg13_lv_nmos[gds] @n.x2.Nsg13_lv_nmos[cgdol] @n.x2.Nsg13_lv_nmos[cgsol] @n.x2.Nsg13_lv_nmos[lp_cgov] @n.x2.Nsg13_lv_nmos[lp_cfr] @n.x2.Nsg13_lv_nmos[cjd] @n.x2.Nsg13_lv_nmos[cjdbot] @n.x2.Nsg13_lv_nmos[cjdgat] @n.x2.Nsg13_lv_nmos[cjdsti] @n.x2.Nsg13_lv_nmos[cjosbot] @n.x2.Nsg13_lv_nmos[cjossti] @n.x2.Nsg13_lv_nmos[cjosgat] @n.x2.Nsg13_lv_nmos[fug]
 5.00000030e-07  4.99999981e-07  1.37703354e-05  7.51630600e-07  1.42038043e-15  1.45075514e-15  1.06843969e-15  4.67200000e-16  8.59314361e-16  7.20503585e-16  6.71512005e-17  7.16595763e-17  7.82410112e-16  7.63683359e-17  7.06956182e-17  4.39296207e+08 
