 @n.x1.nsg13_lv_nmos[ids] @n.x1.Nsg13_lv_nmos[ids] @n.x1.Nsg13_lv_nmos[gm] @n.x1.Nsg13_lv_nmos[gds] @n.x1.Nsg13_lv_nmos[cgdol] @n.x1.Nsg13_lv_nmos[cgsol] @n.x1.Nsg13_lv_nmos[lp_cgov] @n.x1.Nsg13_lv_nmos[lp_cfr] @n.x1.Nsg13_lv_nmos[cjd] @n.x1.Nsg13_lv_nmos[cjdbot] @n.x1.Nsg13_lv_nmos[cjdgat] @n.x1.Nsg13_lv_nmos[cjdsti] @n.x1.Nsg13_lv_nmos[cjosbot] @n.x1.Nsg13_lv_nmos[cjossti] @n.x1.Nsg13_lv_nmos[cjosgat] @n.x1.Nsg13_lv_nmos[fug]
 5.57000063e-07  5.57000063e-07  1.47121158e-05  6.33288398e-07  1.95905737e-15  1.99751538e-15  1.47250580e-15  6.45400000e-16  1.18793230e-15  1.00148761e-15  9.29726419e-17  9.34720501e-17  1.07905106e-15  9.89790542e-17  9.73185243e-17  1.86223577e+08 
 @n.x1.nsg13_lv_nmos[ids] @n.x2.Nsg13_lv_nmos[ids] @n.x2.Nsg13_lv_nmos[gm] @n.x2.Nsg13_lv_nmos[gds] @n.x2.Nsg13_lv_nmos[cgdol] @n.x2.Nsg13_lv_nmos[cgsol] @n.x2.Nsg13_lv_nmos[lp_cgov] @n.x2.Nsg13_lv_nmos[lp_cfr] @n.x2.Nsg13_lv_nmos[cjd] @n.x2.Nsg13_lv_nmos[cjdbot] @n.x2.Nsg13_lv_nmos[cjdgat] @n.x2.Nsg13_lv_nmos[cjdsti] @n.x2.Nsg13_lv_nmos[cjosbot] @n.x2.Nsg13_lv_nmos[cjossti] @n.x2.Nsg13_lv_nmos[cjosgat] @n.x2.Nsg13_lv_nmos[fug]
 5.57000063e-07  5.56999925e-07  1.47121125e-05  6.33288387e-07  1.95905741e-15  1.99751538e-15  1.47250580e-15  6.45400000e-16  1.18793239e-15  1.00148769e-15  9.29726473e-17  9.34720561e-17  1.07905106e-15  9.89790542e-17  9.73185243e-17  1.86223535e+08 
